id	full_name	wiki_page	dob	dod	gender
Manjula-Ratnayake	Manjula Ratnayake				
Manjula-Suraweera-Arachchi	Manjula Suraweera Arachchi				
Mano-Ganesan	Mano Ganesan				
Mano-Wijeyeratne	Mano Wijeyeratne				
Manoj-Rajapaksha	Manoj Rajapaksha				
Manusha-Nanayakkara	Manusha Nanayakkara				
Marjan-Faleel	Marjan Faleel				
Markandu-Gunasegaram	Markandu Gunasegaram				
MASalman-Javid	MASalman Javid				
Matthew-Vincent-Perera	Matthew Vincent Perera				
Mavai-Senathirajah	Mavai Senathirajah				
Mayantha-Dissanayake	Mayantha Dissanayake				
Meerasahibu-Abdul-Majeed	Meerasahibu Abdul Majeed				
Meerasahibu-Uthumalebbe	Meerasahibu Uthumalebbe				
Mervin-(Not-to-be-confused-with-Silva-Silva	Mervin (Not to be confused with Silva Silva				
Mervyn-Silva	Mervyn Silva				
Milan-Jayathilaka	Milan Jayathilaka				
Milinda-Moragoda	Milinda Moragoda				
Milroy-Fernando	Milroy Fernando				
Mohamed-Faisal	Mohamed Faisal				
Mohamed-Haneefa	Mohamed Haneefa				
Mohamed-Ismail-Anwar-Ismail	Mohamed Ismail Anwar Ismail				
Mohamed-Ismail	Mohamed Ismail				
Mohamed-Jabir-Abdul-Cader	Mohamed Jabir Abdul Cader				
Mohamed-Maharoof	Mohamed Maharoof				
Mohamed-Mussammil	Mohamed Mussammil				
Mohamed-Rajabdeen	Mohamed Rajabdeen				
Mohan-Lal-Grero	Mohan Lal Grero				
Mohan-Silva	Mohan Silva				
Mohideen-Abdul-Cader	Mohideen Abdul Cader				
Mohomed-Pasmin	Mohomed Pasmin				
Monty-Gopallawa	Monty Gopallawa				
Muditha-Prishanthi	Muditha Prishanthi				
Mujibur-Rahman	Mujibur Rahman				
Muneer-Mulafar	Muneer Mulafar				
Murugan-Satchithanandan	Murugan Satchithanandan				
Murugesu-Chandrakumar	Murugesu Chandrakumar				
Murugesu-Sivasithamparam	Murugesu Sivasithamparam				
Muszhaaraff-Muthunabeen	Muszhaaraff Muthunabeen				
Muthali-Bawa-Farook	Muthali Bawa Farook				
Muthu-Sivalingam	Muthu Sivalingam				
Muthumenike-Rathwatte	Muthumenike Rathwatte				
N-D-N-P-Jayasinghe	N D N P Jayasinghe				
Nadarajah-Atputharajah	Nadarajah Atputharajah				
Nadarajah-Raviraj	Nadarajah Raviraj				
Nadarasa-Matanarasa	Nadarasa Matanarasa				
Nalaka-Godahewa	Nalaka Godahewa				
Nalaka-Kolonne	Nalaka Kolonne				
Nalaka-Kottegoda	Nalaka Kottegoda				
Nalin-Bandara-Jayamaha	Nalin Bandara Jayamaha				
Nalin-Bandara	Nalin Bandara				
Nalin-Fernando	Nalin Fernando				
Nalin-Hewage	Nalin Hewage				
Nalinda-Jayatissa	Nalinda Jayatissa				
Nallathamby-Srikantha	Nallathamby Srikantha				
Namal-Rajapaksa	Namal Rajapaksa				
Namal-Sudarshana	Namal Sudarshana				
Nanda-Bandara	Nanda Bandara				
Nanda-Matthew	Nanda Matthew				
Nandana-Gunathilake	Nandana Gunathilake				
Nandana-Millagala	Nandana Millagala				
Nandana-Padmakumara	Nandana Padmakumara				
Nandimithra-Ekanayake	Nandimithra Ekanayake				
Navin-Dissanayake	Navin Dissanayake				
Nawalaage-Benet-Cooray	Nawalaage Benet Cooray				
Nayana-Wasalathilake	Nayana Wasalathilake				
Nayanathara-Premathilake	Nayanathara Premathilake				
Neelan-Tiruchelvam	Neelan Tiruchelvam				
Neil-Rupasinghe	Neil Rupasinghe				
Neomal-Perera	Neomal Perera				
Neranjan-Wickremasinghe	Neranjan Wickremasinghe				
Neville-Fernando	Neville Fernando				
Nihal-Abeysinghe	Nihal Abeysinghe				
Nihal-Bakmeewewa	Nihal Bakmeewewa				
Nihal-Galappaththi	Nihal Galappaththi				
Nihal-Yasendra-Bakmeewewa	Nihal Yasendra Bakmeewewa				
Nilantha-Bandara	Nilantha Bandara				
Nilanthi-Kottahachchi	Nilanthi Kottahachchi				
Nilusha-Gamage	Nilusha Gamage				
Nimal-Lanza	Nimal Lanza				
Nimal-Piyatissa	Nimal Piyatissa				
Nimal-Siripala-de-Silva	Nimal Siripala de Silva				
Nimal-Wijesinghe	Nimal Wijesinghe				
Nipuna-Ranawaka	Nipuna Ranawaka				
Nirmala-Kotalawala	Nirmala Kotalawala				
Niroshan-Perera	Niroshan Perera				
Niroshan-Premaratne	Niroshan Premaratne				
Nirupama-Rajapaksa	Nirupama Rajapaksa				
Nishantha-Muthuhettigama	Nishantha Muthuhettigama				
Nishantha-Perera	Nishantha Perera				
Nishantha-Samaraweera	Nishantha Samaraweera				
Noordeen-Mashoor	Noordeen Mashoor				
Olitha-Premathirathna	Olitha Premathirathna				
Omalpe-Sobhitha	Omalpe Sobhitha				
Oshani-Umanga	Oshani Umanga				
Ossie-Abeygunasekara	Ossie Abeygunasekara				
P-Ariyanethiran	P Ariyanethiran				
P-B-G-Kalugalla	P B G Kalugalla				
P-D-Abeyratne	P D Abeyratne				
P-D-N-K-Palihena	P D N K Palihena				
P-Dayaratna	P Dayaratna				
P-Harrison	P Harrison				
P-K-Indika	P K Indika				
P-P-Devaraj	P P Devaraj				
P-Radhakrishnan	P Radhakrishnan				
P-S-P-Samaranayake	P S P Samaranayake				
P-Selvarasa	P Selvarasa				
P-Weerakumara-Dissanayake	P Weerakumara Dissanayake				
Padma-Udayashnatha-Gunasekara	Padma Udayashnatha Gunasekara				
Pakkiyaselvam-Ariyanethiran	Pakkiyaselvam Ariyanethiran				
Palani-Digambaran	Palani Digambaran				
Palisge-Harrison	Palisge Harrison				
Palitha-Range-Bandara	Palitha Range Bandara				
Palitha-Thewarapperuma	Palitha Thewarapperuma				
Pandu-Bandaranaike	Pandu Bandaranaike				
Patabandi-Madduma-Baduge-Cyril	Patabandi Madduma Baduge Cyril				
Pathirage-Don-Abeyratne	Pathirage Don Abeyratne				
Pathmasiri-Bandara	Pathmasiri Bandara				
Pathmini-Sithamparanathan	Pathmini Sithamparanathan				
Pavithra-Devi-Wanniarachchi	Pavithra Devi Wanniarachchi				
Pemasiri-Manage	Pemasiri Manage				
Periyasamy-Chandrasekaran	Periyasamy Chandrasekaran				
Perumal-Rajadurai	Perumal Rajadurai				
Perumalpillai-Radhakrishnan	Perumalpillai Radhakrishnan				
Peter-Silva-Loku-Galappaththy	Peter Silva Loku Galappaththy				
Petikirige-Dayaratna	Petikirige Dayaratna				
Philipps-Sri-Liyanage	Philipps Sri Liyanage				
Piyadasa-Abeynayake	Piyadasa Abeynayake				
Piyankara-Jayaratne	Piyankara Jayaratne				
Piyasena-Gamage	Piyasena Gamage				
Piyasiri-Wijenayake	Piyasiri Wijenayake				
Podiappuhamy-Piyasena	Podiappuhamy Piyasena				
Praba-Ganesan	Praba Ganesan				
Prabha-Senarath	Prabha Senarath				
Pradeep-Undugoda	Pradeep Undugoda				
Prageeth-Maduranga	Prageeth Maduranga				
Pramitha-Tennakoon	Pramitha Tennakoon				
Prasanna-Gunasena	Prasanna Gunasena				
Prasanna-Ranatunga	Prasanna Ranatunga				
Prasanna-Ranaweera	Prasanna Ranaweera				
Premalal-Jayasekara	Premalal Jayasekara				
Premaratnage-Sumathipala	Premaratnage Sumathipala				
Premnath-C-Dolawaththa	Premnath C Dolawaththa				
Prince-Gunarasa-Casinader	Prince Gunarasa Casinader				
Priyantha-Liyanage	Priyantha Liyanage				
Priyantha-Wijeratne	Priyantha Wijeratne				
Punchi-Banda-Dissanayake	Punchi Banda Dissanayake				
Punchi-Banda-Kaviratne	Punchi Banda Kaviratne				
R-A-D-Sirisena	R A D Sirisena				
R-D-Wimaladasa	R D Wimaladasa				
R-G-Wijerathna	R G Wijerathna				
R-M-Jayasena-Rajakaruna	R M Jayasena Rajakaruna				
R-M-P-U-S-Gunasekera	R M P U S Gunasekera				
R-M-R-N-Bandara	R M R N Bandara				
R-M-Ranjith-Madduma-Bandara	R M Ranjith Madduma Bandara				
R-M-Rathnayake	R M Rathnayake				
R-N-G-de-Soyza	R N G de Soyza				
R-P-A-Ranaweera-Pathirana	R P A Ranaweera Pathirana				
R-P-Wijesiri	R P Wijesiri				
R-Sampanthan	R Sampanthan				
R-Wijerathne	R Wijerathne				
R-Yogarajan	R Yogarajan				
Rahul-Rajapuththiran	Rahul Rajapuththiran				
Raja-Collure	Raja Collure				
Raja-Kuhaneswaran	Raja Kuhaneswaran				
Rajarathnan-Sivasamy	Rajarathnan Sivasamy				
Rajavarothiam-Sampanthan	Rajavarothiam Sampanthan				
Rajeewan-Jayachandramurthy	Rajeewan Jayachandramurthy				
Rajendran-Ramamoorthy	Rajendran Ramamoorthy				
Rajika-Wickramasinghe	Rajika Wickramasinghe				
Rajitha-Senaratne	Rajitha Senaratne				
Rajiva-Wijesinha	Rajiva Wijesinha				
Ramaiah-Yogarajan	Ramaiah Yogarajan				
Ramalingam-Chandrasekar	Ramalingam Chandrasekar				
Ramanathan-Archuna	Ramanathan Archuna				
Ramesh-Pathirana	Ramesh Pathirana				
Ranil-Wickremasinghe	Ranil Wickremasinghe				
Ranjan-Ramanayake	Ranjan Ramanayake				
Ranjan-Wijayawardhana	Ranjan Wijayawardhana				
Ranjan-Wijeratne	Ranjan Wijeratne				
Ranjit-Atapattu	Ranjit Atapattu				
Ranjith-Aluvihare	Ranjith Aluvihare				
Ranjith-Bandara	Ranjith Bandara				
Ranjith-de-Soysa	Ranjith de Soysa				
Ranjith-Nawarathna	Ranjith Nawarathna				
Ranjith-Siyambalapitiya	Ranjith Siyambalapitiya				
Rasa-Manohari-Pulendran	Rasa Manohari Pulendran				
Raseen-Mohammed-Imam	Raseen Mohammed Imam				
Rathna-Gamage	Rathna Gamage				
Ratnasiri-Wickremanayake	Ratnasiri Wickremanayake				
Rauff-Hakeem	Rauff Hakeem				
Raveendra-Bandara	Raveendra Bandara				
Ravi-Karunanayake	Ravi Karunanayake				
Ravindra-Randeniya	Ravindra Randeniya				
Ravindra-Samaraweera	Ravindra Samaraweera				
Reggie-Padmasena-Ranatunga	Reggie Padmasena Ranatunga				
Reggie-Ranatunga	Reggie Ranatunga				
Reginald-Cooray	Reginald Cooray				
Renuka-Herath	Renuka Herath				
Richard-Pathirana	Richard Pathirana				
Risad-Badhiutheen	Risad Badhiutheen				
Riyaz-Faruk	Riyaz Faruk				
Rizvie-Salih	Rizvie Salih				
Rizzwi-Sinnalebbe	Rizzwi Sinnalebbe				
Rohana-Bandara	Rohana Bandara				
Rohana-Dissanayake	Rohana Dissanayake				
Rohana-Pushpakumara	Rohana Pushpakumara				
Rohini-Kumari-Wijerathna	Rohini Kumari Wijerathna				
Rohitha-Abeygunawardena	Rohitha Abeygunawardena				
Rohitha-Bogollagama	Rohitha Bogollagama				
Ronnie-de-Mel	Ronnie de Mel				
Roshan-Akmeemana	Roshan Akmeemana				
Roshan-Ranasinghe	Roshan Ranasinghe				
Rosy-Senanayake	Rosy Senanayake				
Rukman-Senanayake	Rukman Senanayake				
Rupa-Karunathilake	Rupa Karunathilake				
Ruwan-Mapalagama	Ruwan Mapalagama				
Ruwan-Ranatunga	Ruwan Ranatunga				
Ruwan-Wijewardene	Ruwan Wijewardene				
Ruwanthilake-Jayakodi	Ruwanthilake Jayakodi				
S-A-Muthubanda	S A Muthubanda				
S-A-R-Madduma-Bandara	S A R Madduma Bandara				
S-A-S-Sakalasooriya	S A S Sakalasooriya				
S-B-Dissanayake	S B Dissanayake				
S-B-Nawinne	S B Nawinne				
S-B-Welagedara	S B Welagedara				
S-Jegadhiswaran	S Jegadhiswaran				
S-K-Jegatheeswaran	S K Jegatheeswaran				
S-K-Subasinghe	S K Subasinghe				
S-Kajendran	S Kajendran				
S-M-Chandrasena	S M Chandrasena				
S-M-Marikkar	S M Marikkar				
S-Pradeep	S Pradeep				
S-S-M-Abu-Bakaar	S S M Abu Bakaar				
S-Sathasivam	S Sathasivam				
S-Shanmuganathan	S Shanmuganathan				
S-Sivamohan	S Sivamohan				
S-Sritharan	S Sritharan				
S-Viyalendiran	S Viyalendiran				
S-Yogeswaran	S Yogeswaran				
Sagala-Ratnayaka	Sagala Ratnayaka				
Sagara-Kariyawasam	Sagara Kariyawasam				
Sagarika-Athauda	Sagarika Athauda				
Sahan-Pradeep-Withana	Sahan Pradeep Withana				
Saidulla-Marikkar	Saidulla Marikkar				
Sajin-Vass-Gunawardena	Sajin Vass Gunawardena				
Sajith-Premadasa	Sajith Premadasa				
Salinda-Dissanayake	Salinda Dissanayake				
Saliya-Madarasinghe	Saliya Madarasinghe				
Samanmalee-Gunasinghe	Samanmalee Gunasinghe				
Samanpriya-Herath	Samanpriya Herath				
Samansiri-Herath	Samansiri Herath				
Samaraweera-Weerawanni	Samaraweera Weerawanni				
Sanath-Jayasuriya	Sanath Jayasuriya				
Sanath-Nishantha	Sanath Nishantha				
Sandith-Samarasinghe	Sandith Samarasinghe				
Sangarapillai-Sivathasan	Sangarapillai Sivathasan				
Sanjeeva-Edirimanna	Sanjeeva Edirimanna				
Sanjeeva-Kaviratne	Sanjeeva Kaviratne				
Sanjeewa-Ranasinghe	Sanjeewa Ranasinghe				
Santhakumara-Punchihewa	Santhakumara Punchihewa				
Santhanam-Arulsamy	Santhanam Arulsamy				
Sarana-Gunawardena	Sarana Gunawardena				
Sarath-Amunugama	Sarath Amunugama				
Sarath-Chandra-Rajakaruna	Sarath Chandra Rajakaruna				
Sarath-Chandrasiri-Mayadunne	Sarath Chandrasiri Mayadunne				
Sarath-Chandrasiri-Muthukumarana	Sarath Chandrasiri Muthukumarana				
Sarath-Fonseka	Sarath Fonseka				
Sarath-Keerthirathna	Sarath Keerthirathna				
Sarath-Kumara-Gunaratna	Sarath Kumara Gunaratna				
Sarath-Kumara	Sarath Kumara				
Sarath-Moonesinghe	Sarath Moonesinghe				
Sarath-Ranawaka	Sarath Ranawaka				
Sarath-Weerasekara	Sarath Weerasekara				
Saroja-Paulraj	Saroja Paulraj				
Sathasivam-Kanagaratnam	Sathasivam Kanagaratnam				
Savumiamoorthy-Thondaman	Savumiamoorthy Thondaman				
Sebastiyampillai-Edward	Sebastiyampillai Edward				
Seetha-Arambepola	Seetha Arambepola				
Seid-Ahamed-Abdul-Majeed	Seid Ahamed Abdul Majeed				
Selvam-Adaikalanathan	Selvam Adaikalanathan				
Selvarajah-Kajendren	Selvarajah Kajendren				
Selvathambi-Thilakanathan	Selvathambi Thilakanathan				
Sena-Nanayakkara	Sena Nanayakkara				
Senathirajah-Jeyanandamoorthy	Senathirajah Jeyanandamoorthy				
Sennan-Veera	Sennan Veera				
Seyed-Ali-Zahir-Moulana	Seyed Ali Zahir Moulana				
Shan-Wijayalal-De-Silva	Shan Wijayalal De Silva				
Shanakiya-Rasamanickam	Shanakiya Rasamanickam				
Shantha-Abeysekara	Shantha Abeysekara				
Shantha-Padmakumara	Shantha Padmakumara				
Shanthi-Sriskantharajah	Shanthi Sriskantharajah				
Shasheendra-Rajapaksa	Shasheendra Rajapaksa				
Shriyani-Wijewickreme	Shriyani Wijewickreme				
Sidney-Jayarathna	Sidney Jayarathna				
Sihabdeen-Nijamudeen	Sihabdeen Nijamudeen				
Silvestri-Alantine	Silvestri Alantine				
Sinnathamby-Sivamaharajah	Sinnathamby Sivamaharajah				
Sinniah-Thangavel	Sinniah Thangavel				
Siri-Andrahannadi	Siri Andrahannadi				
Sirimavo-Bandaranaike	Sirimavo Bandaranaike				
Sirinal-de-Mel	Sirinal de Mel				
Siripala-Amarasinghe	Siripala Amarasinghe				
Siripala-Gamalath	Siripala Gamalath				
Sirisena-Cooray	Sirisena Cooray				
Sisira-Jayakody	Sisira Jayakody				
Sivagnanam-Shritharan	Sivagnanam Shritharan				
Sivanathan-Kisshor	Sivanathan Kisshor				
Sivanesathurai-Chandrakanthan	Sivanesathurai Chandrakanthan				
Sivapragasam-Ratnarajah	Sivapragasam Ratnarajah				
Sivasakthy-Ananthan	Sivasakthy Ananthan				
Solomon-Cyril	Solomon Cyril				
Somasuntharam-Ganeshamoorthy	Somasuntharam Ganeshamoorthy				
Somaweera-Chandrasiri	Somaweera Chandrasiri				
Sri-Bhavanandaraja-Shanmuganathan	Sri Bhavanandaraja Shanmuganathan				
Sri-Ranga-Jeyaratnam	Sri Ranga Jeyaratnam				
Srimanee-Athulathmudali	Srimanee Athulathmudali				
Sripathi-Sooriyaarachchi	Sripathi Sooriyaarachchi				
Stanley-Tillekerathne	Stanley Tillekerathne				
Stephani-Fernando	Stephani Fernando				
Sudarshana-Denipitiya	Sudarshana Denipitiya				
Sudarshani-Fernandopulle	Sudarshani Fernandopulle				
Sudath-Balagalla	Sudath Balagalla				
Sudath-Manjula	Sudath Manjula				
Sugath-Tissera	Sugath Tissera				
Sujatha-Alahakoon	Sujatha Alahakoon				
Sujeeva-Dissanayake	Sujeeva Dissanayake				
Sujeewa-Senasinghe	Sujeewa Senasinghe				
Sujith-Sanjaya-Perera	Sujith Sanjaya Perera				
Sumedha-G-Jayasena	Sumedha G Jayasena				
Sumith-Udukumbura	Sumith Udukumbura				
Sunethra-Ranasinghe	Sunethra Ranasinghe				
Sunil-Biyanvila	Sunil Biyanvila				
Sunil-Handunnetti	Sunil Handunnetti				
Sunil-Rajapaksha	Sunil Rajapaksha				
Sunil-Rathnasiri	Sunil Rathnasiri				
Sunil-Watagala	Sunil Watagala				
Sunny-Rohana	Sunny Rohana				
Suppiah-Sathasiwam	Suppiah Sathasiwam				
Suranga-Rathnayaka	Suranga Rathnayaka				
Suren-Raghavan	Suren Raghavan				
Suresh-Premachandran	Suresh Premachandran				
Susantha-Dodawatta	Susantha Dodawatta				
Susantha-Kumara	Susantha Kumara				
Susantha-Punchinilame	Susantha Punchinilame				
Susil-Moonesinghe	Susil Moonesinghe				
Susil-Premajayanth	Susil Premajayanth				
Susil-Ranasinghe	Susil Ranasinghe				
T-B-Ekanayake	T B Ekanayake				
T-B-Mahalekam	T B Mahalekam				
T-B-Sarath	T B Sarath				
T-H-Dunuwila	T H Dunuwila				
T-K-Jayasundara	T K Jayasundara				
T-Kalaiarasan	T Kalaiarasan				
T-S-P-Thevarasa	T S P Thevarasa				
Thalatha-Atukorale	Thalatha Atukorale				
Thambirajah-Thangavadivel	Thambirajah Thangavadivel				
Thambu-Loganathapillai	Thambu Loganathapillai				
Thangeswary-Kathiraman	Thangeswary Kathiraman				
Thanmanpillai-Kanagasabai	Thanmanpillai Kanagasabai				
Tharaka-Balasuriya	Tharaka Balasuriya				
Tharanath-Basnayake	Tharanath Basnayake				
Tharmalingam-Siththarthan	Tharmalingam Siththarthan				
Themiya-Loku-Bandara-Hurulle	Themiya Loku Bandara Hurulle				
Thiagarasah-Maheswaran	Thiagarasah Maheswaran				
Thilak-Karunarathna	Thilak Karunarathna				
Thilak-Marapone	Thilak Marapone				
Thilak-Rajapaksha	Thilak Rajapaksha				
Thilakaratne-Withanachchi	Thilakaratne Withanachchi				
Thilanga-Sumathipala	Thilanga Sumathipala				
Thilanka-Rukmal	Thilanka Rukmal				
Thilina-Bandara-Tennakoon	Thilina Bandara Tennakoon				
Thilina-Samarakoon	Thilina Samarakoon				
Thirimadura-Ranjith-de-Soysa	Thirimadura Ranjith de Soysa				
Thomas-Thangathurai-William	Thomas Thangathurai William				
Thurairasa-Ravikumar	Thurairasa Ravikumar				
Thushara-Indunil	Thushara Indunil				
Thushari-Jayasinghe	Thushari Jayasinghe				
Thusitha-Wijemanne	Thusitha Wijemanne				
Tiran-Alles	Tiran Alles				
Tissa-Attanayake	Tissa Attanayake				
Tissa-Karalliyadde	Tissa Karalliyadde				
Tissa-Vitharana	Tissa Vitharana				
Tudor-Dayaratne	Tudor Dayaratne				
Tyronne-Fernando	Tyronne Fernando				
U-L-Heenmahaththaya	U L Heenmahaththaya				
U-L-M-Mohideen	U L M Mohideen				
U-M-S-Dassanayaka	U M S Dassanayaka				
U-S-H-Maithripala	U S H Maithripala				
Udawatte-Nanda	Udawatte Nanda				
Udaya-Gammanpila	Udaya Gammanpila				
Udayakantha-Gunathilaka	Udayakantha Gunathilaka				
Udayana-Kirindigoda	Udayana Kirindigoda				
Uddika-Premarathna	Uddika Premarathna				
Udith-Lokubandara	Udith Lokubandara				
Uduwe-Dhammaloka	Uduwe Dhammaloka				
Ukkubanda-Wijekoon	Ukkubanda Wijekoon				
Umapathisivam-Baskaran	Umapathisivam Baskaran				
Upali-Abeywickrama	Upali Abeywickrama				
Upali-Piyasena	Upali Piyasena				
Upali-Samaraweera	Upali Samaraweera				
Upeksha-Swarnamali	Upeksha Swarnamali				
Upul-Galappaththi	Upul Galappaththi				
Upul-Kithsiri	Upul Kithsiri				
Upul-Mahendra	Upul Mahendra				
V-Muralitharan	V Muralitharan				
V-S-S-Ranaweera	V S S Ranaweera				
Vadivel-Puththirasigamoney	Vadivel Puththirasigamoney				
Vadivel-Suresh	Vadivel Suresh				
Vaithilingam-Balachandran	Vaithilingam Balachandran				
Vajira-Abeywardena	Vajira Abeywardena				
Vasudeva-Nanayakkara	Vasudeva Nanayakkara				
Veerasingham-Anandasangaree	Veerasingham Anandasangaree				
Velusami-Radhakrishnan	Velusami Radhakrishnan				
Victor-Anthony-Perera	Victor Anthony Perera				
Vidana-Gamage-Jinadasa	Vidana Gamage Jinadasa				
Vidura-Wickremenayake	Vidura Wickremenayake				
Vijayakala-Maheswaran	Vijayakala Maheswaran				
Vijitha-Berugoda	Vijitha Berugoda				
Vijitha-Herath	Vijitha Herath				
Vijitha-Ranaweera	Vijitha Ranaweera				
Vinayagamoorthy-Muralitharan	Vinayagamoorthy Muralitharan				
Vincent-Jayawardena	Vincent Jayawardena				
Vino-Noharathalingam	Vino Noharathalingam				
W-A-Fernando	W A Fernando				
W-A-Wiswa-Warnapala	W A Wiswa Warnapala				
W-B-Ekanayake	W B Ekanayake				
W-B-Jambugahapitiyagedera	W B Jambugahapitiyagedera				
W-J-M-Lokubandara	W J M Lokubandara				
W-M-H-B-Wanninayaka	W M H B Wanninayaka				
W-M-S-K-Dharmawardana	W M S K Dharmawardana				
W-P-S-Pushpakumara	W P S Pushpakumara				
Wasantha-Aluvihare	Wasantha Aluvihare				
Wasantha-Pushpakumara	Wasantha Pushpakumara				
Wasantha-Senanayake	Wasantha Senanayake				
Wasantha-Yapa-Bandara	Wasantha Yapa Bandara				
Weerasinghe-Mallimarachchi	Weerasinghe Mallimarachchi				
Weerasumana-Weerasinghe	Weerasumana Weerasinghe				
Wijaya-Dahanayaka	Wijaya Dahanayaka				
Wijaya-Withanage	Wijaya Withanage				
Wijayapala-Mendis	Wijayapala Mendis				
Wijepala-Hettiarachchi	Wijepala Hettiarachchi				
Wijesiri-Basnayake	Wijesiri Basnayake				
Wijesundara-Bandara-Ranatunga	Wijesundara Bandara Ranatunga				
Wijeyadasa-Rajapaksa	Wijeyadasa Rajapaksa				
Wimal-Weerawansa	Wimal Weerawansa				
Wimal-Wickremasinghe	Wimal Wickremasinghe				
Wimalaweera-Dissanayake	Wimalaweera Dissanayake				
Y-G-Padmasiri	Y G Padmasiri				
Y-M-Nawaratna-Banda	Y M Nawaratna Banda				
Yadamini-Gunawardena	Yadamini Gunawardena				
Yasaratne-Tennakoon	Yasaratne Tennakoon				
